rank,Country,score,Total,Rank,Total,Rank,Total,Rank,Total,Rank
34,Rwanda,45.83,59,25,0.512,7,7.048,94,0.0309,71
120,Samoa,109.5,0,99,0,99,0,120,0,120
84,Saudi Arabia,69.67,27,42,0.085,44,29.914,78,0.0017,105
57,Senegal,59.67,5,74,0.032,70,48.482,68,0.1223,38
91,Serbia,75.67,0,99,0,99,80.852,57,0.0795,50
89,Seychelles,73.67,0,99,0,99,6.273,97,0.2449,24
120,Sierra Leone,109.5,0,99,0,99,0,120,0,120
120,Singapore,109.5,0,99,0,99,0,120,0,120
120,Slovak Republic,109.5,0,99,0,99,0,120,0,120
120,Slovenia,109.5,0,99,0,99,0,120,0,120
120,Solomon Islands,109.5,0,99,0,99,0,120,0,120
32,South Africa,42.33,39,35,0.07,54,769.758,27,0.1041,42
87,South Sudan,73,15,49,0.12,38,0.542,107,0.0026,103
44,Spain,51.83,19,45,0.041,66,1 033.146,24,0.0613,55
4,Sri Lanka,11.5,99,15,0.466,9,1 623.162,14,0.6217,11
120,St. Kitts and Nevis,109.5,0,99,0,99,0,120,0,120
73,St. Lucia,66.17,0,99,0,99,20.651,84,0.8955,8
28,St. Vincent and the Grenadines,41.33,2,86,1.818,3,2.88,104,0.2338,26
23,Sudan,38.5,171,10,0.432,11,58.19,65,0.0329,67
120,Suriname,109.5,0,99,0,99,0,120,0,120
70,Swaziland,64.83,0,99,0,99,58.706,64,0.5283,14
109,Sweden,93.5,0,99,0,99,32.119,74,0.0065,95
97,Switzerland,78.83,1,92,0.012,89,129.247,51,0.0257,76
49,Tajikistan,54.67,6,72,0.069,55,33.835,72,0.13,37
77,Tanzania,68,35,37,0.072,52,14.35,89,0.0095,89
20,Thailand,37.5,46,30,0.067,56,1 803.565,11,0.1549,36
46,The Bahamas,53.17,0,99,0,99,1241.299,18,13.7662,2
120,The Gambia,109.5,0,99,0,99,0,120,0,120
120,Togo,109.5,0,99,0,99,0,120,0,120
90,Tonga,75.5,0,99,0,99,1.356,106,0.2421,25
120,Trinidad and Tobago,109.5,0,99,0,99,0,120,0,120
47,Tunisia,54.33,0,99,0,99,1551.338,15,1.1884,7
107,Turkey,92.83,6,72,0.008,96,28.873,79,0.0014,107
120,Tuvalu,109.5,0,99,0,99,0,120,0,120
41,Uganda,51,66,20,0.181,27,22.308,82,0.0268,75
116,Ukraine,98.83,5,74,0.012,90,0.416,109,0.0001,115
86,United Arab Emirates,72,1,92,0.01,93,327.146,34,0.0487,60
74,United Kingdom,66.83,13,56,0.02,81,681.605,29,0.0245,77
10,United States,23.17,267,5,0.083,45,47 395.510,2,0.2545,21
18,Uruguay,32.67,12,60,0.345,13,143.561,48,0.1928,31
120,Uzbekistan,109.5,0,99,0,99,0,120,0,120
120,Vanuatu,109.5,0,99,0,99,0,120,0,120
112,Venezuela,96,3,80,0.01,94,6.438,96,0.0015,106
5,Vietnam,15.33,161,11,0.174,28,4 037.704,5,0.6782,10
26,Zambia,40.33,11,62,0.066,57,310.941,36,0.4774,15
2,Zimbabwe,7.33,246,6,1.696,4,1205.15,20,3.7218,5
,,,,,,,,,,
